City,Population,01/04/2020,03/04/2020,05/04/2020,06/04/2020,07/04/2020,09/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,23/04/2020,24/04/2020,26/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,04/05/2020,05/05/2020,06/05/2020,08/05/2020,09/05/2020,10/05/2020,15/05/2020,18/05/2020,21/05/2020,24/05/2020,29/05/2020,30/05/2020,02/06/2020
ירושלים," 931,272 ",807,1132,1302,1424,1464,1630,1821,1959,2093,2258,2418,2477,2524,2579,2672,3061,3136,3279,3421,3458,3496,3552,3577,3579,3592,3625,3635,3635,3667,3671,3682,3688,3797,3854,3916
תל אביב-יפו," 456,409 ",301,337,359,387,393,415,444,452,458,468,483,488,491,500,504,491,492,496,531,532,533,534,537,537,537,544,546,547,562,566,572,580,600,607,626
חיפה," 273,425 ",81,96,105,106,108,118,127,134,136,139,142,146,148,149,152,148,149,161,164,164,164,166,167,167,167,170,170,170,171,171,174,175,175,175,175
פתח תקווה," 245,533 ",111,138,159,167,172,190,199,210,218,224,235,239,240,243,243,254,256,264,274,278,281,283,284,284,286,289,290,290,293,296,300,300,305,305,311
ראשון לציון," 242,800 ",119,132,139,149,152,180,192,195,202,203,208,213,214,215,216,211,212,212,217,217,219,219,219,219,219,219,219,221,220,222,231,232,234,236,236
אשדוד," 225,707 ",99,111,129,140,145,160,170,173,179,195,228,232,240,246,253,255,257,269,281,281,283,283,284,285,285,285,286,287,287,288,293,292,296,296,304
נתניה," 216,897 ",95,126,137,141,142,149,156,160,161,173,177,178,178,180,180,173,173,174,176,177,178,178,177,177,177,177,178,178,180,181,181,183,190,192,194
בני ברק," 200,806 ",723,1061,1214,1323,1386,1594,1761,1806,1888,2053,2150,2201,2258,2307,2349,2588,2635,2747,2813,2816,2831,2846,2861,2864,2871,2893,2894,2895,2917,2921,2923,2924,2933,2933,2947
באר שבע," 197,168 ",92,112,121,122,125,127,135,141,144,146,152,153,152,152,153,163,166,168,171,171,173,175,178,180,184,184,185,185,186,186,186,186,187,190,198
חולון," 186,840 ",83,104,110,136,140,128,159,162,152,158,164,166,170,170,175,169,170,171,177,177,177,177,178,178,181,181,181,181,183,183,183,183,191,192,196
רמת גן," 147,072 ",91,106,116,118,118,126,135,136,141,147,157,158,160,162,162,173,175,178,184,188,189,191,191,191,191,191,191,191,193,193,193,193,194,194,194
אשקלון," 141,817 ",125,170,191,207,209,216,225,228,228,235,272,277,280,280,251,254,258,260,264,264,263,263,262,262,262,262,262,262,263,263,264,266,263,263,264
רחובות," 139,246 ",61,66,68,77,77,80,87,92,97,104,109,111,111,111,112,116,116,116,118,119,118,118,118,118,119,121,121,121,127,127,131,131,133,133,133
בת ים," 129,868 ",81,102,103,125,125,114,142,142,137,146,155,156,157,164,165,161,163,163,169,169,171,171,175,175,175,176,176,178,179,180,183,183,197,198,207
בית שמש," 126,846 ",92,118,137,148,152,169,188,199,211,226,272,278,287,308,319,392,410,436,458,470,478,487,495,496,497,513,514,513,527,530,532,538,544,544,548
כפר סבא," 97,982 ",,50,56,61,61,63,65,67,69,70,72,75,76,77,78,69,69,69,72,72,72,72,73,73,73,74,74,74,74,74,74,75,75,75,75
חדרה," 95,464 ",,22,24,24,24,25,30,34,35,36,38,38,38,38,38,49,52,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,56
הרצליה," 92,766 ",59,69,74,77,79,85,92,93,94,94,96,96,96,96,97,100,101,102,102,102,102,102,105,105,105,105,105,105,107,107,107,107,107,108,111
מודיעין-מכבים-רעות," 87,581 ",84,91,101,105,105,112,116,118,119,120,120,123,123,123,124,112,112,112,119,119,119,119,118,118,118,121,121,121,121,121,121,121,121,121,120
נצרת," 78,529 ",,7,7,7,8,9,10,10,11,12,14,15,16,16,16,19,19,19,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19
מודיעין עילית," 76,971 ",61,91,115,145,151,174,190,206,218,239,261,266,271,283,288,335,353,375,396,397,405,408,409,409,409,411,412,412,419,419,420,421,423,423,424
