City,Population,01/04/2020,03/04/2020,05/04/2020,06/04/2020,07/04/2020,09/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,23/04/2020,24/04/2020,26/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,04/05/2020,05/05/2020,06/05/2020,08/05/2020,09/05/2020,10/05/2020,15/05/2020,18/05/2020
ירושלים,914559,88.24,123.78,142.36,155.7,160.08,178.23,199.11,214.2,228.85,246.89,264.39,270.84,275.98,281.99,292.16,334.7,342.9,256.95,234.98,217.37,208.52,190.15,174.07,168.72,156,143,134,132, 96 , 81 
תל אביב-יפו,450192,66.86,74.86,79.74,85.96,87.3,92.18,98.62,100.4,101.73,103.96,107.29,108.4,109.06,111.06,111.95,109.06,109.29,39.76,36.87,34.87,34.87,32.65,31.1,30.65,29,30,28,29, 28 , 27 
חיפה,272584,29.72,35.22,38.52,38.89,39.62,43.29,46.59,49.16,49.89,50.99,52.09,53.56,54.3,54.66,55.76,54.3,54.66,32.28,24.95,23.11,22.01,20.91,20.54,19.81,18,17,17,16, 14 , 13 
פתח תקווה,242478,45.78,56.91,65.57,68.87,70.93,78.36,82.07,86.61,89.91,92.38,96.92,98.57,98.98,100.22,100.22,104.75,105.58,42.89,38.77,38.35,37.12,34.64,32.58,30.93,32,29,29,28, 22 , 20 
ראשון לציון,241010,49.38,54.77,57.67,61.82,63.07,74.69,79.66,80.91,83.81,84.23,86.3,88.38,88.79,89.21,89.62,87.55,87.96,30.29,24.07,23.24,22.82,21.16,20.33,19.92,18,17,17,17, 17 , 16 
אשדוד,225073,43.99,49.32,57.31,62.2,64.42,71.09,75.53,76.86,79.53,86.64,101.3,103.08,106.63,109.3,112.41,113.3,114.19,63.09,58.65,56.43,55.09,50.21,43.1,43.1,42,40,36,36, 27 , 22 
נתניה,213971,44.4,58.89,64.03,65.9,66.36,69.64,72.91,74.78,75.24,80.85,82.72,83.19,83.19,84.12,84.12,80.85,80.85,34.12,27.11,25.24,24.77,21.97,17.29,17.29,17,16,15,15, 14 , 13 
באר שבע,196755,46.76,56.92,61.5,62.01,63.53,64.55,68.61,71.66,73.19,74.2,77.25,77.76,77.25,77.25,77.76,82.84,84.37,40.66,38.12,37.1,37.1,36.59,35.58,34.56,36,35,35,35, 30 , 29 
בני ברק,195298,370.2,543.27,621.61,677.43,709.68,816.19,901.7,924.74,966.73,1051.21,1100.88,1127,1156.18,1181.27,1202.78,1325.15,1349.22,861.25,742.46,700.98,672.82,629.29,547.37,537.64,519,481,442,435, 320 , 283 
חולון,185741,44.69,55.99,59.22,73.22,75.37,68.91,85.6,87.22,81.83,85.06,88.29,89.37,91.53,91.53,94.22,90.99,91.53,42.53,32.3,31.23,30.69,28,25.3,23.69,24,23,23,22, 19 , 17 
רמת גן,143370,63.47,73.93,80.91,82.3,82.3,87.88,94.16,94.86,98.35,102.53,109.51,110.2,111.6,112.99,112.99,120.67,122.06,61.38,52.31,50.22,48.82,49.52,45.34,45.34,45,42,43,43, 33 , 31 
אשקלון,139032,89.91,122.27,137.38,148.89,150.33,155.36,161.83,163.99,163.99,169.03,195.64,199.23,201.39,201.39,180.53,182.69,185.57,68.33,59.7,57.54,54.66,53.23,47.47,46.75,46,42,40,40, 34 , 33 
רחובות,137178,44.47,48.11,49.57,56.13,56.13,58.32,63.42,67.07,70.71,75.81,79.46,80.92,80.92,80.92,81.65,84.56,84.56,26.24,24.06,19.68,18.22,16.77,15.31,15.31,15,15,14,14, 18 , 15 
בת ים,130523,62.06,78.15,78.91,95.77,95.77,87.34,108.79,108.79,104.96,111.86,118.75,119.52,120.29,125.65,126.41,123.35,124.88,57.46,55.16,53.63,52.1,51.33,54.4,54.4,52,51,51,51, 44 , 42 
בית שמש,120812,76.15,97.67,113.4,122.5,125.82,139.89,155.61,164.72,174.65,187.07,225.14,230.11,237.56,254.94,264.05,324.47,339.37,278.95,259.91,253.29,249.98,227.63,206.11,199.48,195,186,177,175, 141 , 124 
כפר סבא,97412,0,51.33,57.49,62.62,62.62,64.67,66.73,68.78,70.83,71.86,73.91,76.99,78.02,79.05,80.07,70.83,70.83,24.64,23.61,23.61,23.61,20.53,20.53,19.5,20,18,17,17, 17 , 15 
חדרה,94104,0,23.38,25.5,25.5,25.5,26.57,31.88,36.13,37.19,38.26,40.38,40.38,40.38,40.38,40.38,52.07,55.26,22.32,18.07,17,14.88,12.75,10.63,10.63,10,10,10,10, 10 , 9 
הרצליה,90900,64.91,75.91,81.41,84.71,86.91,93.51,101.21,102.31,103.41,103.41,105.61,105.61,105.61,105.61,106.71,110.01,111.11,38.5,30.8,30.8,30.8,28.6,27.5,26.4,25,25,25,25, 23 , 22 
מודיעין-מכבים-רעות,87108,96.43,104.47,115.95,120.54,120.54,128.58,133.17,135.46,136.61,137.76,137.76,141.2,141.2,141.2,142.35,128.58,128.58,37.88,34.44,34.44,33.29,28.7,26.4,25.26,24,28,28,26, 25 , 25 
נצרת,78252,0,8.95,8.95,8.95,10.22,11.5,12.78,12.78,14.06,15.34,17.89,19.17,20.45,20.45,20.45,24.28,24.28,15.34,14.06,14.06,14.06,14.06,11.5,11.5,12,12,12,12, 8 , 8 
רמלה,75246,0,47.84,53.16,58.47,59.8,63.79,69.11,74.42,77.08,77.08,79.74,82.4,83.73,85.05,89.04,75.75,75.75,25.25,21.26,21.26,22.59,21.26,17.28,17.28,17,17,17,17, 21 , 24 
לוד,75038,0,58.64,61.3,63.97,63.97,69.3,71.96,82.62,86.62,91.95,99.95,105.28,105.28,106.61,110.61,111.94,113.28,53.31,49.31,46.64,46.64,47.98,45.31,42.65,40,36,33,33, 25 , 24 
