Date,Total Cases,New Cases,בינוני Moderate,קשה Severe,נפטרו Deceased,Total Recovered,New Recovered,נבדקים היום Tested Today,"סה""כ נבדקים Total Tested",אחוז חיוביים Percent Positive,GF Normalized to Tests,Baseline
21/02/2020,2,2,,,,,,15,472,,,
22/02/2020,6,4,,,,,,13,485,,,
23/02/2020,11,5,,,,,,75,560,,,
24/02/2020,16,5,,,,,,58,618,,,
25/02/2020,18,2,,,,,,104,722,1.92,,
26/02/2020,18,0,,,,,,123,845,0.00,,
27/02/2020,19,1,,,,,,134,979,0.75,,
28/02/2020,22,3,,,,,,115,1094,2.61,,
29/02/2020,22,0,,,,,,158,1252,0.00,,
01/03/2020,23,1,,,,,,160,1412,0.63,,
02/03/2020,28,5,,,,,,173,1585,2.89,,
03/03/2020,31,3,,,,,,223,1808,1.35,,
04/03/2020,31,0,,,,,,123,1931,0.00,,
05/03/2020,33,2,,,,,,177,2108,1.13,,
06/03/2020,37,4,,,,,,302,2410,1.32,,
07/03/2020,41,4,,,,,,387,2797,1.03,,
08/03/2020,50,9,0,0,0,,,475,3272,1.89,,
09/03/2020,54,4,1,1,0,,,588,3860,0.68,,
10/03/2020,87,33,4,1,0,,,518,4378,6.37,,
11/03/2020,107,20,5,1,0,,,511,4889,3.91,1,1
12/03/2020,127,20,5,2,0,,,722,5611,2.77,1,1
13/03/2020,162,35,8,3,0,,,785,6396,4.46,2,1
14/03/2020,191,29,11,2,0,,,645,7041,4.50,1,1
15/03/2020,229,38,12,2,0,3,3,1142,8183,3.33,1,1
16/03/2020,301,72,9,4,0,6,3,1278,9461,5.63,2,1
17/03/2020,394,93,10,5,0,19,13,2135,11596,4.36,1,1
18/03/2020,512,118,12,6,0,22,3,2656,14252,4.44,1,1
19/03/2020,648,136,13,6,0,33,11,2503,16755,5.43,1,1
20/03/2020,817,169,18,10,0,38,5,2643,19398,6.39,1,1
21/03/2020,1023,206,19,15,1,40,2,1974,21372,10.44,2,1
22/03/2020,1272,249,30,24,1,45,5,3359,24731,7.41,1,1
23/03/2020,1620,348,38,29,1,65,20,3865,28596,9.00,1,1
24/03/2020,2042,422,45,37,3,79,14,5067,33663,8.33,1,1
25/03/2020,2465,423,64,39,5,89,10,5240,38903,8.07,1,1
26/03/2020,2993,528,65,46,8,101,12,5555,44458,9.50,1,1
27/03/2020,3427,434,63,49,12,112,11,5014,49472,8.66,1,1
28/03/2020,3907,480,81,69,12,131,19,4961,54433,9.68,1,1
29/03/2020,4439,532,82,74,15,172,41,6489,60922,8.20,1,1
30/03/2020,4985,546,90,79,16,219,47,5681,66603,9.61,1,1
31/03/2020,5714,729,105,94,20,293,74,7851,74454,9.29,1,1
01/04/2020,6409,695,129,95,21,330,37,8213,82667,8.46,1,1
02/04/2020,7128,719,126,108,29,431,101,9082,91749,7.92,1,1
03/04/2020,7727,599,144,113,36,508,77,9903,101652,6.05,1,1
04/04/2020,8156,429,165,126,42,571,63,6647,108299,6.45,1,1
05/04/2020,8735,579,182,139,46,676,105,9279,117578,6.24,1,1
06/04/2020,9187,452,197,140,51,773,97,7250,124828,6.23,1,1
07/04/2020,9566,379,189,149,59,854,81,6592,131420,5.75,1,1
08/04/2020,9904,338,199,147,71,905,51,5573,136993,6.06,1,1
09/04/2020,10249,345,171,166,79,976,71,5532,142525,6.24,1,1
10/04/2020,10611,362,171,164,92,1148,172,6750,149275,5.36,1,1
11/04/2020,10957,346,154,180,96,1268,120,6298,155573,5.49,1,1
12/04/2020,11515,558,155,174,103,1571,303,9543,165116,5.85,1,1
13/04/2020,11959,444,168,181,110,1813,242,10422,175538,4.26,1,1
14/04/2020,12366,407,177,181,117,2149,336,12664,188202,3.21,1,1
15/04/2020,12679,313,173,176,126,2426,277,9449,197651,3.31,1,1
16/04/2020,12981,302,158,174,140,2744,318,12782,210433,2.36,1,1
17/04/2020,13283,302,162,182,148,3059,315,10781,221214,2.80,1,1
18/04/2020,13594,311,145,167,158,3434,375,10613,231827,2.93,1,1
19/04/2020,13884,290,142,146,172,3732,298,11286,242081,2.57,1,1
20/04/2020,14142,258,129,149,180,4222,490,15139,255423,1.70,1,1
21/04/2020,14430,288,135,139,185,4624,402,13489,266845,2.14,1,1
22/04/2020,14657,227,124,141,189,5057,433,13490,278747,1.68,1,1
23/04/2020,14935,278,112,139,192,5482,425,14162,292608,1.96,1,1
24/04/2020,15189,254,101,137,196,6023,541,12613,304407,2.01,1,1
25/04/2020,15349,160,98,127,199,6435,412,9080,325107,1.76,1,1
26/04/2020,15437,88,82,133,201,6731,296,8467,333500,1.04,1,1
27/04/2020,15552,115,88,117,205,7375,469,11019,344381,1.04,1,1
28/04/2020,15719,167,83,116,210,7746,371,10640,354857,1.57,2,1
29/04/2020,15802,83,80,115,216,7929,255,9004,365961,0.92,1,1
30/04/2020,15946,144,79,105,222,8412,483,9924,373882,1.45,2,1
01/05/2020,16041,95,82,103,226,8758,346,11050,385922,0.86,1,1
02/05/2020,16095,54,67,105,229,9400,642,5569,391491,0.97,1,1
03/05/2020,16115,20,65,94,232,9634,234,8028,399519,0.25,0,1
