City,אוכלוסיה,חולים מאומתים,כמות נבדקים,שיעור למאה אלף,אחוז חיוביים
בני ברק,195298,2053,9517,1051.214042,21.57192393
קרית יערים,5713,39,414,682.6535971,9.420289855
כוכב יעקב,8602,57,302,662.6365961,18.87417219
"כפר חב""ד",6724,44,223,654.3723974,19.7309417
אפרת,10676,64,649,599.475459,9.861325116
אלעד,46760,278,2009,594.5252352,13.83773021
מצפה רמון,4991,22,172,440.7934282,12.79069767
מגדל העמק,26058,99,878,379.9217131,11.27562642
אור יהודה,34843,120,1455,344.402032,8.24742268
מודיעין עילית,73808,239,1390,323.8131368,17.1942446
טבריה,44353,134,1567,302.1216152,8.551372049
ביתר עילית,59240,177,1186,298.784605,14.92411467
רכסים,11841,35,227,295.5831433,15.4185022
אזור,11819,30,376,253.8285811,7.978723404
ירושלים,914559,2258,20854,246.8949516,10.82765896
