City,אוכלוסיה,חולים מאומתים,כמות נבדקים,שיעור למאה אלף,אחוז חיוביים
ירושלים,914559,2672,26943,292.1626708,9.917232676
תל אביב-יפו,450192,504,13578,111.9522337,3.711886876
חיפה,272584,152,5736,55.7626273,2.649930265
פתח תקווה,242478,243,6107,100.2152773,3.979040445
ראשון לציון,241010,216,6804,89.62283723,3.174603175
אשדוד,225073,253,5216,112.4079743,4.850460123
נתניה,213971,180,4599,84.12354945,3.913894325
באר שבע,196755,153,5779,77.76168331,2.647516871
בני ברק,195298,2349,11503,1202.777294,20.4207598
חולון,185741,175,5177,94.21721645,3.380336102
רמת גן,143370,162,5348,112.9943503,3.029169783
אשקלון,139032,251,4302,180.5339778,5.834495583
רחובות,137178,112,3568,81.64574494,3.139013453
בת ים,130523,165,3302,126.4145017,4.996971532
בית שמש,120812,319,2691,264.0466179,11.85432925
